head,head_type,relation,tail,tail_type,confidence,sentence
coastal,Env_Event,causes,coastal flooding,Env_Event,0.845,Rising mean and extreme sealevels and induced increased coastal flooding are expected to lead to massive coastal migration if coasts are not protected.
coastal,Env_Event,occurs_in,global,Geo_Location,0.861,"Using a wide range of sealevel rise (SLR) scenarios, socioeconomic pathways and discount rate assumptions, 21st century coastal migration is assessed at global scale assuming local costbenefit optimal protection decisions for about 12,000 coastal segments with homogeneous coastal and socioeconomic characteristics."
coastal,Env_Event,occurs_in,coastal segments,Ecosystem,0.921,"Using a wide range of sealevel rise (SLR) scenarios, socioeconomic pathways and discount rate assumptions, 21st century coastal migration is assessed at global scale assuming local costbenefit optimal protection decisions for about 12,000 coastal segments with homogeneous coastal and socioeconomic characteristics."
global,Geo_Location,occurs_in,coastal segments,Ecosystem,0.675,"Using a wide range of sealevel rise (SLR) scenarios, socioeconomic pathways and discount rate assumptions, 21st century coastal migration is assessed at global scale assuming local costbenefit optimal protection decisions for about 12,000 coastal segments with homogeneous coastal and socioeconomic characteristics."
coastal segments,Ecosystem,occurs_in,global,Geo_Location,0.828,"Using a wide range of sealevel rise (SLR) scenarios, socioeconomic pathways and discount rate assumptions, 21st century coastal migration is assessed at global scale assuming local costbenefit optimal protection decisions for about 12,000 coastal segments with homogeneous coastal and socioeconomic characteristics."
floodplain,Ecosystem,affects,coastal,Ecosystem,0.938,"Robust decisions in favor of protection over all scenarios are found for about 3% of the global coastline, covering 78% of global coastal population and 92% of global coastal floodplain assets."
floodplain,Ecosystem,affects,coastal,Ecosystem,0.964,"Robust decisions in favor of protection over all scenarios are found for about 3% of the global coastline, covering 78% of global coastal population and 92% of global coastal floodplain assets."
global,Climate_Driver,occurs_in,"coastal regions,",Geo_Location,0.625,"For many coastal regions, projections of global sea-level rise by the year 2100 (e.g., 0.52 meters) are comparable in magnitude to todays extreme but short-lived increases in water level due to storms."
coastal flooding,Env_Event,affects,coastal,Ecosystem,0.866,"Thus, the 21 st century will see significant changes to coastal flooding regimes (where present-day, extreme-but-rare events become common), which poses a major risk to the safety and sustainability of coastal communities worldwide."
sea-level rise.,Climate_Driver,causes,coastal flooding,Env_Event,0.986,"Here, we investigate the continuous shift in coastal flooding regimes by quantifying continuous rates of increase in the occurrence of extreme water-level events due to sea-level rise."
coastal regions,Geo_Location,occurs_in,United States.,Geo_Location,0.552,"Further, we find that the present-day 50-year extreme water level (i.e., 2% annual chance of exceedance, based on historical records) will be exceeded annually before 2050 for most (i.e., 70%) of the coastal regions in the United States."
sea level rise,Climate_Driver,causes,flood,Env_Event,0.979,Abstract Coastal flood risk facing urban communities is increasing due to the compound impacts of sea level rise (SLR) and urban growth.
coastal,Env_Event,causes,flood,Env_Event,0.729,"Moreover, the relative contributions of SLR and urban development to the future dynamics of city-level coastal flood risk have not been examined."
roads,Human_Activity,causes,coastal flooding,Env_Event,0.834,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
roads,Human_Activity,occurs_in,"Xiamen,",Geo_Location,0.931,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
roads,Human_Activity,occurs_in,China,Geo_Location,0.956,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
"electrical facilities,",Human_Activity,mitigates,roads,Human_Activity,0.701,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
"electrical facilities,",Human_Activity,causes,coastal flooding,Env_Event,0.981,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
coastal flooding,Env_Event,occurs_in,"Xiamen,",Geo_Location,0.989,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
coastal flooding,Env_Event,occurs_in,China,Geo_Location,0.99,"Therefore, here we developed a land use-based urban growth scenario for the temporally and spatially explicit simulation of future urban growth in terms of buildings, roads and electrical facilities, and combined it with a local temporally explicit SLR scenario, into a hazard-exposure-vulnerability model, for the purpose of dynamic risk assessment of coastal flooding on the urban built environment in Xiamen, China by 2050, and accordingly examined the relative contributions of SLR and urban growth."
